t,male,female
1,0.7373,0.6313
2,0.7473,0.6413
3,0.7573,0.6513
4,0.7673,0.6613
5,0.7773,0.6713
6,0.7873,0.6813
7,0.7973,0.6913
8,0.8073,0.7013
9,0.8073,0.7013
10,0.8073,0.7013
11,0.8073,0.7013
12,0.8073,0.7013
13,0.8073,0.7013
14,0.8073,0.7013
15,0.8073,0.7013
16,0.8073,0.7013
17,0.8073,0.7013
18,0.8073,0.7013
19,0.8073,0.7013
20,0.8073,0.7013
21,0.8073,0.7013
22,0.8073,0.7013
23,0.8073,0.7013
24,0.8073,0.7013
25,0.8073,0.7013
26,0.8073,0.7013
27,0.8073,0.7013
28,0.8073,0.7013
29,0.8073,0.7013
30,0.8073,0.7013
31,0.8073,0.7013
32,0.8073,0.7013
33,0.8073,0.7013
34,0.8073,0.7013
35,0.8073,0.7013
36,0.8073,0.7013
37,0.8073,0.7013
38,0.8073,0.7013
39,0.8073,0.7013
40,0.8073,0.7013
41,0.8073,0.7013
